Espèces;Famille;Date;Nombre d'espèce;Prélèvement;Fungarium;N° Exsiccata;Récolteur(s);Déterminateur(s);Légataire récolte;Site;Fiabilité détermination;Commentaire
Mycena leptocephala (Pers.) Gillet;Mycenaceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Individu déjà très dégradé.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;3;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Déjà prélevé en 2024, peu d’individus présents.
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;5;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Individus déjà très dégradés.
Hebeloma sp;Strophariaceae;16/11/2025;1;Oui;Oui;RNNCS-P18-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 18;Probable;A déterminer (genre très compliqué, probabilité de séquençage)
Hygrocybe euroflavescens Kühner;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Non prélevé car seul exemplaire.
Trametes pubescens (Schumach.) Pilát;Polyporaceae;16/11/2025;12;Oui;Oui;RNNCS-P19-161125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 19;Certaine;
Hygrocybe euroflavescens Kühner;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Non prélevé car seul exemplaire et dégradé.
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;16/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Individus dégradés, trop peu nombreux.
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;16/11/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Individus abîmés, trop peu nombreux pour un prélèvement.
Tapinella panuoides (Fr.) E.-J. Gilbert;Tapinellaceae;29/11/2025;3;Oui;Oui;RNNCS-P20-291125-003;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Sporée brune.
